计息,利息计算公式
衡阳市,衡阳
小度,小度机器人
上图,上海图书馆
单反,单镜头反光相机
星爷,周星驰
HUAWEI,华为技术有限公司
民国,中华民国
遥,小遥
小河,小河区
中国联通,中国联合网络通信集团有限公司
文静,李文静
wow,魔兽世界
屠苏,百里屠苏
fbi,美国联邦调查局
滇,云南
IPHONE7,iPhone 7
摩根,摩根·弗里曼
慈,慈姓
医保卡,社会医疗保险卡
更年期,围绝经期综合征
op,航海王
沭阳,沭阳县
李建,李健
遵义市,遵义
吴川市,吴川
靴子,shuzu
请会,打会
高级中学,高中
vg,VG电子竞技俱乐部
VPN,虚拟专用网络
姬,姬姓
安庆市,安庆
基金净值,基金单位净值
史蒂芬,史蒂芬·A·斯塔菲斯
拉姑,狄波拉
大西,大西政权
介休市,介休
国泰,爱新觉罗·国泰
日代,日本代购
ios10,iOS 10
中南,中南大学
王子,邱胜翊
403,403错误
魔兽,魔兽争霸
米拉,米拉公主
9.18,九·一八事变
杭州市,杭州
木工板,细木工板
GB,英国
水饺,饺子
河源市,河源
火龙,艾特利亚斯·纳兹·多拉格尼尔
同心,同心县
呼和浩特市,呼和浩特
赤,赤姓
蓝屏,电脑蓝屏
昌吉,昌吉回族自治州
小宝,王一鸣
安检,安全检查
猫咪,猫
帝都,北京
丽莎,莉莎·艾薇·杜·安克
倒库,倒桩
baidu,百度
龙马,越前龙马
姓张,张姓
晕船,晕动病
宝妈,王美华
菲菲,莲音
公斤,千克
裸贷,裸条
金黄色,金黄
南宁市,南宁
发老,法老
富贵花,牡丹
auto,汽车
wc,碳化钨
咸,咸姓
国土局,国土资源局
五一劳动节,五一国际劳动节
△,三角形
iphone6,iPhone 6
魔术,奥兰多魔术队
ē,自然常数
潮州市,潮州
欧冠,欧洲冠军联赛
公共英语,全国英语等级考试
河西,河西新城
Jojo,乔纳森·乔斯达
乐清市,乐清
系统控制,中央控制系统
小文,金志文
夜店,夜·店
科帕,雷蒙德·科帕
吉大,吉林大学
Mars,火星
红十字,红十字国际委员会
小高,高渐离
大鹏,董成鹏
交大,交通大学
股东会,股东大会
客家话,客家语
she,S.H.E
土狗,中华田园犬
iOS10,iOS 10
盖茨,比尔·盖茨
jr,朴珍荣
卡其,卡其布
v3,摩托罗拉V3
gc,罪恶王冠
厅级,厅局级
HB,血红蛋白
淄川,淄川区
禽流感,人感染禽流感
三一,三一集团
VF,visual foxpro
天际,上古卷轴5：天际
英航,英国航空公司
泷泽萝拉,水咲萝拉
福满,爱新觉罗·福满
普京,弗拉基米尔·弗拉基米罗维奇·普京
玉蒲团,3D肉蒲团之极乐宝鉴
野马,野马汽车
zhou,陈尧
成都市,成都
色戒,色·戒
I7,酷睿i7
洛阳市,洛阳
好巧,好巧网
村委,村民委员会
HQ,对苯二酚
净化器,空气净化器
阳具,阴茎
通天塔,巴别塔
老年痴呆,阿尔茨海默病
福安市,福安
进城,解放上海
科幻,科学幻想
独孤,独孤姓
鲁豫,陈鲁豫
唐吉,钱德拉·巴哈杜尔·唐吉
化身,阿凡达
萨哈,路易斯·萨哈
证监会,中国证券监督管理委员会
汉人,汉族
UPS,不间断电源
农村妇女,农村留守妇女
大河,逢坂大河
脸谱,Facebook
华南,华南地区
毛蛋,毛鸡蛋
博士生,博士研究生
黄色片,黄色电影
宿,宿迁
阿拉伯塔,阿拉伯塔酒店
酉阳,酉阳土家族苗族自治县
分布式,分布式直流电源
蝴蝶花,三色堇
着魔,迷恋
cpb,cle de peau beaute
京,北京
邯郸市,邯郸
平等待遇,国民待遇
cod,化学需氧量
SARS,重症急性呼吸综合征
南非,南非共和国
处女座,室女座
失忆,失忆症
信使,信使号
CP,配对
金佳,金珈
nfc,近场通信
电容,电容器
皇马,皇家马德里足球俱乐部
利空,股市利空
百佳,百佳超市
涪陵,涪陵区
OICQ,QQ
代比,伊德里斯·代比
达尔文,查尔斯·罗伯特·达尔文
泉州市,泉州
春节晚会,中央电视台春节联欢晚会
who,世界卫生组织
青岛市,青岛
死去活来,一生有你
申花,上海绿地申花足球俱乐部
巴萨,巴塞罗那足球俱乐部
奶罩,胸罩
虚度光阴,光阴虚度
天门市,天门
脚气病,维生素B1缺乏病
技术部,中华人民共和国科学技术部
凤翔,凤翔县
贝多芬,路德维希·凡·贝多芬
佘,佘姓
哈工大,哈尔滨工业大学
京津沪,北上天
有机物,有机化合物
贝尔,贝尔·格里尔斯
巨型计算机,超级计算机
泰隆,刀锋之影
篮球赛,篮球比赛
石楼,石楼县
彤彤,蔡玓彤
生二胎,准生二胎政策
风子,伊吹风子
龙之谷,龙之谷：破晓奇兵
Windows,Windows操作系统
红楼,红楼梦
丫鬟,丫环
cfm,穿越火线：枪战王者
sunny,李顺圭
维嘉,李维嘉
新乡市,新乡
比卡丘,皮卡丘
新疆维吾尔自治区,新疆
东突,东突厥斯坦
守护者,守护者：世纪战元
霍华德,德怀特·霍华德
李奕萱,李奕娴
美联储,美国联邦储备系统
廖,廖姓
师大,师范大学
g6,北京－拉萨高速公路
伯,伯姓
科科,弗朗西斯科·科科
AK,卡拉什尼科夫自动步枪
出车,小雅·出车
–,连接号
烧饼,朱云峰
覃,覃姓
炔,炔烃
log,对数
贝勒,多罗贝勒
开化,开化县
中兴,中兴通讯股份有限公司
远征,远征Online
火麒麟,AK47-火麒麟
软件平台,软件开发平台
Wap,无线应用通讯协议
康熙,爱新觉罗·玄烨
马先生,肖炳实
女同,女同性恋
大明,明朝
北风,国风·邶风·北风
范德萨,埃德温·范德萨
ci,置信区间
百分率,百分比
公分,厘米
ab,Angel Beats!
龙泉,龙泉驿区
五儿,柳五儿
顶上,大事件
福利彩票,中国福利彩票
tut,太原理工大学
妞妞,赵一涵
M9,M9手枪
响亮,耳光响亮
单机版,单机游戏
蕾丝,女同性恋
处理器,中央处理器
bv,Bottega Veneta
马汉,阿尔弗雷德·赛耶·马汉
体彩,体育彩票
包膜,囊膜
优品,优品网
杨贵妃,杨玉环
暴龙,霸王龙
抗日,抗日战争
office,Microsoft Office
jin,金硕珍
南京市,南京
坠落,坠入
初始状态,初始不连续状态
oppoA59,OPPO A59
詹姆斯,勒布朗·詹姆斯
余生,重返地球
威尔,苏格拉瓦·卡那诺
AK47,AK-47突击步枪
窝头,窝窝头
南头,南头镇
阿济格,爱新觉罗·阿济格
博爱,博爱县
心衰,心力衰竭
下桥,下桥镇
大车,国风·王风·大车
菜菜,hello菜菜
陆,陆姓
深大,深圳大学
维二码,二维码
windows10,Windows 10
嘀嗒,滴答
邹平,邹平县
杨莲,杨婵
sao,刀剑神域
溜冰,溜冰毒
孤儿,孤儿怨
心火,筑梦庄园之心火
博瑞,吉利博瑞
技校,技工学校
双性人,小儿两性畸形
全国政协,中国人民政治协商会议全国委员会
适应环境,环境适应
活塞,底特律活塞队
vTV,越南电视台
潇湘,林黛玉
鲜肉,新生六居客
贾森,贾森·特里
dl,大连
sina,新浪
js,javascript
虎丘,虎丘山风景名胜区
石湾,石湾镇
周口市,周口
杰克逊,迈克尔·杰克逊
cs,反恐精英
天文,天文学
周生生,周生生集团国际有限公司
小信,金范
路飞,蒙奇·D·路飞
Jack,杰克
apple,苹果公司
nO,一氧化氮
阿道夫,阿道夫·希特勒
蛋痛,蛋疼
脚气,足癣
韭菜花,韭花
浪潮,浪潮集团有限公司
欧洲杯,欧洲足球锦标赛
ei,工程索引
n72,诺基亚N72
海波,硫代硫酸钠
世博会,世界博览会
哈尔,哈尔·乔丹
华润集团,华润（集团）有限公司
特朗普,唐纳德·特朗普
OPPOR9,OPPO R9
猫眼,猫眼三姐妹
石家庄市,石家庄
热火,迈阿密热火队
捣蛋鬼,小魔怪
嵩明,嵩明县
温州市,温州
日共,日本共产党
ime,输入法编辑器
lr,铹
思文,周颂·思文
BC,不列颠哥伦比亚省
安息,帕提亚帝国
八一,八一建军节
万能钥匙,WiFi万能钥匙
落落,苏落
万马奔腾,万马奔腾电器超市
城镇化,城市化
阿明,伊迪·阿明
ISO,国际标准化组织
沙坪坝,沙坪坝区
滨江,滨江区
公明,公明街道
苍南,苍南县
高职,高职院校
清人,国风·郑风·清人
临沧市,临沧
郫县,郫都区
善莫大焉,知错能改，善莫大焉
血液,blood
大兴,大兴区
柳州市,柳州
礼袋,礼品袋
周旋,周璇
熊熊,卓毓彤
阿姆,埃米纳姆
时光倒流,时间倒流
光环,光晕
梁国,南朝梁
新店,新店镇
幻影,幻影2000战斗机
哈登,詹姆斯·哈登
金山,旧金山
○,〇
古风,古体诗
观音,观世音
物语,物语系列
178,178游戏网
八里,八里区
邮编,邮政编码
HSK,中国汉语水平考试
舒马赫,迈克尔·舒马赫
KT,KT Rolster
IOS10,iOS 10
华东,华东地区
痔疮,痔
钓鱼台,钓鱼岛
华联,北京华联集团投资控股有限公司
科技部,中华人民共和国科学技术部
共党,共产党
希特勒,阿道夫·希特勒
巴中市,巴中
六级,大学英语六级考试
阿坝,阿坝藏族羌族自治州
林口,林口县
松原市,松原
凤姐,王熙凤
明珠,纳兰明珠
omg,OMG电子竞技俱乐部
空开,空气开关
透明人,透明人魔
九龙,九龙半岛
承德市,承德
枣,枣庄
发改委,中华人民共和国国家发展和改革委员会
安塞,安塞区
杨阳洋,杨文昌
贵阳市,贵阳
国安,北京中赫国安足球俱乐部
抄手,馄饨
打嗝,呃逆
街道办,街道办事处
br,溴元素
白人,白色人种
WLAN,无线局域网
店长,宫政
大石,大石藏人
船长,海洋之灾
南平市,南平
楼市,房地产市场
川航,四川航空股份有限公司
焦,焦耳
炮友,朋友也上床
陈东,白冰
茅台,茅台酒
出生入死,致命摇篮
saw,电锯惊魂
富阳,富阳区
cuo,氧化铜
红军,中国工农红军
红绿灯,交通信号灯
拉姆,菲利普·拉姆
村子,村庄：阿雉阿拉的秘密
UC,加利福尼亚大学
益阳市,益阳
七秒钟,7秒钟
柚子,柚
北辰,北辰区
小霞,黄绮珊
追随者,杀手信徒
长治市,长治
318,318国道
满天星,圆锥石头花
三哥,苗侨伟
丁香,公丁香
冷冷,冷雨萱
娘亲,后妈的春天
桃源,桃源县
im,智能制造
WP,Windows Phone
澳币,澳大利亚元
In,铟
9.11,9·11事件
德甲,德国足球甲级联赛
奉新,奉新县
打呼噜,打鼾
阿杰,张杰
ND,钕
IPhone7,iPhone 7
番禺市,番禺区
WF,战争前线
人大代表,人民代表大会代表
mi,熔融指数
东南,东南地区
扎西德勒,西藏秘密
787,波音787
香港特区,香港
nima,尼玛县
帝豪,吉利帝豪
new,查亚鹏·普帕特
白石,姜夔
开发软件,软件开发
马来,马来西亚
南沙,南沙群岛
战无不胜,97古惑仔之战无不胜
财产权利,财产性权利
氐,氐族
丝丝,甜丝丝
阿帕奇,AH-64武装直升机
景,景姓
WP8,Windows Phone 8
大话西游,大话西游之爱你一万年
DNA,脱氧核糖核酸
iso,国际标准化组织
ed,英雄传说
WW,疾风步
山西太原,太原
红黄蓝,红黄蓝幼儿园
Iphone6plus,iPhone 6 Plus
加拉,威廉·加拉斯
ios9,iOS 9
uuu,錀
国王,萨克拉门托国王队
乐平,雅木茶
六道,六道仙人
晨光,上海晨光文具股份有限公司
th,钍
272,梅苏特·厄齐尔
英豪,英豪卡组
内射,体内射精
973,国家重点基础研究发展计划（973计划）
日照市,日照
葛,葛姓
青阳,青阳县
内积,点积
辛,东界王神
金鸡,中国电影金鸡奖
一课,作业帮一课
薛,薛姓
开拓市场,市场开拓
统联,中国统一联盟
福克斯,二十世纪福克斯电影公司
肩并肩,阴阳相成
啰啰嗦嗦,啰哩啰嗦
会理,会理县
hq,对苯二酚
iOS9,iOS 9
响水,响水县
国税局,国家税务局
刘汉,汉朝
欧拉,莱昂哈德·欧拉
UFO,不明飞行物
iPhone5s,iPhone 5s
豺狼,豺
明矾,十二水硫酸铝钾
卡夫卡,弗兰兹·卡夫卡
长寿,长寿区
东阳市,东阳
港督,香港总督
飞云,飞云镇
想当年,想当年：80后成长纪念册
小辉,李志辉
黎,黎姓
小可,可鲁贝洛斯
顺风,中国顺风棉花网
iPhone6,iPhone 6
沈阳市,沈阳
芙,枫
未央,未央宫
南阳市,南阳
诺言,明凯
王府井,王府井大街
竹竿,国风·卫风·竹竿
濮阳市,濮阳
聂,聂姓
baw,B.A.W
维吾尔,维吾尔族
海口市,海口
国足,中国国家男子足球队
戴利,托马斯·戴利
筹集资金,资金筹集
轻餐,轻食餐厅
消协,中国消费者协会
山西大同,大同
救世主,宇宙追缉令
黔西南州,黔西南布依族苗族自治州
裤袜,连裤袜
i3,酷睿i3
网警,网络警察
dn,死亡笔记
pt,电压互感器
酒精,乙醇
荷兰猪,豚鼠
盐城市,盐城
Zz,宇智波佐助
平米,平方米
南湖,嘉兴南湖
pan,泮托拉唑
惠州市,惠州
汇通,百世汇通
国剧,京剧
找不着北,真情如梦
傅,傅姓
章丘,章丘区
湘,湖南
洁面乳,洗面奶
爵士,爵士舞
JOE,曹三丰
满送,满就送
qq6,奇瑞QQ6
卢卡,卢卡·赛里科·雷特
携程网,携程
致远,致远号巡洋舰
仲康,姒中康
广元市,广元
封测,封闭测试
开发技术,技术开发
黄岩,黄岩区
中正,蒋介石
内乡,内乡县
苏共,苏联共产党
双流县,双流区
丰台,丰台区
银监,中国银行业监督管理委员会
意外险,意外伤害保险
克拉克,克拉克·肯特
victory,SEUNGRI
rp,快速成型
宁乡县,宁乡
斗鱼,斗鱼TV
下关,下关穴
金华市,金华
oppor819t,OPPO R819T
咸阳市,咸阳
粘土,黏土
尤文图斯,尤文图斯足球俱乐部
皖,安徽
转租,转租赁
尼姆,尼姆足球俱乐部
杭州湾,宁波杭州湾新区
张果,张果老
国航,中国国际航空股份有限公司
蓝山,蓝山县
小龙女,吴卓林
sB,锑
制片人,制作人
兴隆,兴隆县
宫外孕,异位妊娠
华盖,华盖星
大峡谷,恩施大峡谷
奇才,华盛顿奇才队
清远市,清远
隆安,隆安县
纸鸢,风筝
克里,约翰·克里
梭罗,亨利·戴维·梭罗
安然无恙,Safe&Sound
经开区,西安经济技术开发区
狂风,狂风战斗机
鸣人,漩涡鸣人
闽侯,闽侯县
双修,双修派
韩氏,韩姓
内内,内内·希拉里奥
爱迪生,托马斯·阿尔瓦·爱迪生
襄汾,襄汾县
温网,温布尔登网球锦标赛
ϖ,圆周率
银鹭,厦门银鹭食品集团有限公司
qzone,QQ空间
黄色图片,色情图片
困困,于困困
特警,特种警察
飙车,飚车
工体,北京工人体育场
岚,ARASHI
万人迷,李德钖
夏威夷,夏威夷州
福清市,福清
布拉特,约瑟夫·布拉特
丹心,陈源
阿乐,阿托伐他汀钙片
虞美人,虞姬
G3,北京－台北高速公路
hk,香港
802.3,IEEE 802.3
数分,数字分组
余杭,余杭区
伊犁,伊犁哈萨克自治州
服务网络,网络服务
网球场,网球场地
j3,JBOY3
包面,馄饨
国军,国民革命军
老顽童,周伯通
永宁,永宁县
静海,静海区
碣石,碣石镇
北汽,北汽集团
伯牙,俞伯牙
弗洛伊德,西格蒙德·弗洛伊德
ioi,I.O.I
博罗,博罗县
石林,昆明市石林风景区
魅惑,牡丹花下
味素,味精
t2,T2次
鹈鹕,新奥尔良鹈鹕队
智联,智联招聘
奔驰车,奔驰汽车
嘉善,嘉善县
沿河,沿河土家族自治县
早教,早期教育
澳门特区,澳门
齐齐哈尔市,齐齐哈尔
淡菜,贻贝
第三号,托利托斯
小美,贺军翔
尤文,尤文图斯足球俱乐部
赛尔,乔治·赛尔
黑山,黑山共和国
三鹿,石家庄三鹿集团股份有限公司
教育部,中华人民共和国教育部
四喜,鹊鸲
蚌埠市,蚌埠
湘潭市,湘潭
锦屏,锦屏县
显示屏,显示器
bbc,英国广播公司
黄圃,黄圃镇
九尾,九尾九喇嘛
刚果,刚果共和国
李青,盲僧
大年初二,正月初二
四六级,大学英语四六级考试
金马奖,台湾电影金马奖
阳江市,阳江
离歌,离歌I
Nih,美国国立卫生研究院
雏田,日向雏田
汲,卫辉
封神榜,封神传奇
非法拘禁,非法拘禁罪
lD,镭射影碟
草狗,中华田园犬
纪晓岚,纪昀
说唱,rap
变身,变身超人
Paul,克里斯·保罗
内大,内蒙古大学
韵达,韵达快递
工商总局,中华人民共和国国家工商行政管理总局
过敏原,变应原
沃尔夫,弗吉尼亚·伍尔芙
张浦,张浦镇
自考,高等教育自学考试
欧赔,欧洲赔率
领英,LinkedIn
周期律,元素周期律
天皇,李治
aPp,手机软件
市场占有率,市场份额
ft,英尺
净流入,资金净流入
黑虎,黑蓝虎
黑腹,腹黑
七律,七言律诗
711,7-11
MA,移动平均线
热火队,迈阿密热火队
吾王,阿尔托利亚·潘德拉贡
大工,大连理工大学
小淘气,罗刹女
九孔,吕孔维
胡思乱想,乱世三人行
PICC,中国人民财产保险股份有限公司
豫,河南
重疾,重大疾病
sod,超氧化物歧化酶
爬灰,扒灰
龙江,龙江县
传呼机,寻呼机
GDP,国内生产总值
CCTV5,中央电视台体育频道
ZG,祖尔格拉布
白狼,北极狼
中央电视台,中国中央电视台
木乃伊,新木乃伊
创业基金,风险投资基金
大夏,西夏
vivoX7,vivo X7
库切,约翰·马克斯韦尔·库切
软银,软件银行集团
CIO,首席信息官
豪哥,李国豪
杨高,上海市杨浦高级中学
肺栓塞,肺栓塞和肺梗死
基德,怪盗基德
桑果,桑葚
孝感市,孝感
mic,MIC男团
黑瞎子,黑瞎子岛
日光灯,荧光灯
猫扑,猫扑网
松岗镇,松岗街道
文远,张辽
季后赛,NBA季后赛
属相,十二生肖
红魔,曼彻斯特联足球俱乐部
拉菲,拉菲红酒
喜马拉雅山,喜马拉雅山脉
黑死病,鼠疫
㎞,千米
特种部队,特种部队：眼镜蛇的崛起
中办,中国共产党中央委员会办公厅
武功,武功山
RpG,角色扮演游戏
阜外医院,中国医学科学院阜外心血管病医院
一贫,李逍遥
黄婆,沙悟净
翻云覆雨,覆雨翻云
猛龙,多伦多猛龙队
长虹,四川长虹电子控股集团有限公司
雷克塞,虚空遁地兽
169,武汉号驱逐舰
大三巴,大三巴牌坊
HCG,人绒毛膜促性腺激素
N97,诺基亚N97
巴东,巴东县
马修,蔡志强
cun,中央民族大学
梦之队,美国国家男子篮球队
交管局,武汉市公安局交通管理局
阿瑟,切斯特·艾伦·阿瑟
el,妖精的旋律
山姆,山姆卫斯·詹吉
水军,网络水军
ios7.1,ios 7.1
帕金森,帕金森综合征
北韩,朝鲜
Diana,戴安娜王妃
阿方索,阿方索·佩雷斯·穆尼奥斯
春城,昆明
福州市,福州
中国解放军,中国人民解放军
阿加西,安德烈·阿加西
随州市,随州
KFC,肯德基
渣打,渣打银行
12.9,一二·九运动
剑峰,魏剑峰
族谱,家谱
尔康,福尔康
博隆,冢越博隆
基尔,水无怜奈
≠,不等号
仙剑,仙剑奇侠传
古田,古田县
iqiyi,爱奇艺
第五代,第五代战斗机
交强,机动车交通事故责任强制保险
维亚,威亚
情缘,北魏传奇之情缘
美女如云,无懈可击之美女如云
果度,果度网
联运,联合运输
斯拉,酷斯拉
盖伦,德玛西亚之力
潭头,潭头镇
马鸡,马鸡属
湖大,湖南大学
哈勃,哈勃空间望远镜
大理,大理白族自治州
天中,驻马店
海航,海航集团
HTC,宏达国际电子股份有限公司
肇庆市,肇庆
戈尔巴乔夫,米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫
广西省,广西
齐天大圣,孙悟空
万事达,万事达国际组织
万里长城,长城
HP,幽门螺杆菌
火狐狸,Mozilla Firefox
烛光,坎德拉
破军星,破军
dw,Adobe Dreamweaver
蜘蛛侠,蜘蛛侠：英雄归来
海事局,中华人民共和国海事局
pi,圆周率
加友,友加
于田,于田县
纳什,约翰·纳什
复生,谭嗣同
呼机,寻呼机
格老子,格老子的
恶性肿瘤,癌症
准备金率,存款准备金率
费迪南德,里奥·费迪南德
诗人节,端午节
卡塞雷斯,马丁·卡塞雷斯
宣传部,中国共产党中央委员会宣传部
长泰,长泰县
Ruhr,鲁尔河
彭博,迈克尔·布隆伯格
陈彬,跳舞
专门利人,毫不利己，专门利人
秋后算帐,秋后算账
his,医院信息系统
双双,陈思妤
人防,人民防空
MX4,魅族MX4
微爱,微爱之渐入佳境
圣徒,驱魔者
马克思,卡尔·马克思
卡洛斯,罗伯托·卡洛斯
保密法,中华人民共和国保守国家秘密法
微山,微山县
滇红,云南红茶
读读书,读书读书
上证综指,上海证券综合指数
血病,血证
葫芦岛市,葫芦岛
Alt,谷丙转氨酶
追根究底,面具
龙猫,毛丝鼠
黄燕,黄燕集团
财险,企业财产险
母夜叉,孙二娘
林西,林西县
穆图,阿德里安·穆图
三岛,迪加岛
绥德,绥德县
晒伤,日照性皮炎
李二,吉利可汗
基尔霍夫,古斯塔夫·罗伯特·基尔霍夫
波尔,马努特·波尔
理查德,理查德·米尔豪斯·尼克松
心梗,急性心肌梗死
eei,百代
长发,商颂·长发
金哥,张金哥
现金账,现金日记账
三门峡市,三门峡
曼联,曼彻斯特联足球俱乐部
蛀牙,龋病
妇科病,妇科疾病
诺维奇,诺维奇足球俱乐部
Index,茵蒂克丝
伽利略,伽利略·伽利雷
镇江市,镇江
昆明市,昆明
宜春市,宜春
一战,第一次世界大战
大圣,老子
卡鲁,跑得快
罗曼罗兰,罗曼·罗兰
IOS6,ios 6
sky,李晓峰
OP,航海王
合川,合川区
壶关,壶关县
金将军,王章
利津,利津县
崆峒,崆峒山
刘航,刘语熙
基排,基数排序
卡玛,kama
eu,欧洲联盟
解放军总医院,中国人民解放军总医院
怯,怯姓
阿比,阿比·克兰茜
电扇,电风扇
江口,江口县
惠安,惠安县
网联,非银行支付机构网络支付清算平台
增城,增城区
涵义,含义
wan,广域网
贪狼,杀破狼·贪狼
二号机,EVA二号机
成吉思汗,孛儿只斤·铁木真
尼木,尼木县
欢欢,于佳卉
邓肯,蒂姆·邓肯
东胜,东胜区
菱智,东风风行菱智
皮蛋,松花蛋
甲辰,沈从文
国际米兰,国际米兰足球俱乐部
oppoR7s,OPPO R7s
刘云,刘芸
廊坊市,廊坊
尹,尹姓
四道,四出文
b2,B-2轰炸机
QQ6,奇瑞QQ6
曾伟明,曾玮明
共产党员,中国共产党党员
cash,现金
勒流,勒流街道
面瘫,面神经麻痹
乳癌,乳腺癌
北约,北大西洋公约组织
葛生,国风·唐风·葛生
龙安,龙安区
东哥,布喜娅玛拉
普洱,普洱茶
问天,南宫问天
醉酒,急性酒精中毒
龙门,龙门石窟
Jerry,言承旭
米开朗基罗,米开朗基罗·博那罗蒂
元龙,洪金宝
御龙,御龙在天
香港特区政府,香港特别行政区政府
惠农,惠农区
兰州市,兰州
虎门,虎门镇
地理知识,中国国家地理
耐克,NIKE
晁,晁姓
余干,余干县
尚义,尚义县
方丹,朱斯特·方丹
沈飞,沈阳飞机工业集团
横栏,横栏镇
蝉衣,蝉蜕
光洁度,表面粗糙度
单车,自行车
乌兰浩特市,乌兰浩特
柳德米拉,柳德米拉·阿列克德罗付娜·普京娜
路德,马丁·路德
m9,M9手枪
TAO,黄子韬
鄂温克,鄂温克族
D3,暗黑破坏神Ⅲ
分歧,分歧者：异类觉醒
闪充,手机快速充电
GC,罪恶王冠
Wc,碳化钨
快玩,快玩游戏
和田,和田地区
其乐,clarks
肖刚,肖钢
RP,快速成型
欧足联,欧洲足球协会联盟
贝蒂斯,皇家贝蒂斯足球俱乐部
铁岭市,铁岭
沈北,沈北新区
磁存储器,磁表面存储器
大苏打,硫代硫酸钠
贡嘎,贡嘎山
天方夜谭,一千零一夜
安监局,安全生产监督管理局
图奇,瘟疫之源
初音,初音未来
大观园,北京大观园
廉江市,廉江
德文,德语
和顺,和顺县
白土,白土镇
秀逗,秀逗魔导师
击鼓,国风·邶风·击鼓
丁零,丁零人
小罗,罗纳尔迪尼奥
同德,同德县
noi,全国青少年信息学奥林匹克竞赛
NED,荷兰
美帝国主义,美利坚帝国
雪纳瑞,雪纳瑞犬
RF,罗杰·费德勒
Lr,铹
林妹妹,林黛玉
AG,银
安化,安化县
crash,撞车
十九世纪,19世纪
渭城,渭城区
goes,地球静止环境业务卫星
黑痣,色素痣
流川,流川枫
圆葱,洋葱
建阳,建阳区
台山市,台山
台独,台湾独立运动
茂名市,茂名
都江堰市,都江堰
龙海市,龙海
小鱼儿,沙俊良
包头市,包头
若风,禹景曦
lv,路易威登
exe,可执行程序
guy,盖·里奇
紫云,紫云苗族布依族自治县
红叶谷,红叶谷生态文化旅游区
桌球,台球
mj,迈克尔·杰克逊
粟,小米
文革,文化大革命
日杂,杂货
阴阳人,小儿两性畸形
剑及履及,剑及屦及
西溪,西溪国家湿地公园
舟山市,舟山
黑格尔,格奥尔格·威廉·弗里德里希·黑格尔
大喜之日,结婚纪念日
周董,周杰伦
米国,美国
张家港市,张家港
房管,房琯
肠胃炎,胃肠炎
家庭教师,家庭教师HITMAN REBORN!
弯弯,胡家玮
花龟,中华花龟
西樵,西樵镇
FIBA,国际篮球联合会
刺秦,荆轲刺秦王
金沙,金沙江
大牙,周宜霈
华口,华口村
紫金,紫金山
DC,DC漫画
二次方,平方
民企,民营企业
格罗姆,格罗姆·地狱咆哮
视频压缩,视频编码
阿联,易建联
工程进度,工程形象进度
撒哈拉,撒哈拉沙漠
geek,极客
天道,佩恩
宜章,宜章县
崔胜贤,T.O.P
聚合物,高分子化合物
保监会,中华人民共和国保险监督管理委员会
EI,工程索引
秦皇岛市,秦皇岛
bang,裴俊植
卡斯帕罗夫,加里·卡斯帕罗夫
天秤,天平
魂,黑伤·魂
深海,余则成
黄州,黄州区
HI,碘化氢
农地,农用地流转
仓鼠,仓鼠亚科
汉阳,汉阳区
打机,打印机
常山,常山县
焱,焱妃
tui,文本用户界面
鲍,鲍姓
团委,中国共产主义青年团委员会
刀妹,艾瑞莉娅
希尔顿,帕丽斯·希尔顿
脱臼,关节脱位
k1,K-1
幕,幕后凶手
骑士,克利夫兰骑士队
王兰,王澜
克林顿,威廉·杰斐逊·克林顿
漳州市,漳州
猪扒,猪排
哥伦布,克里斯托弗·哥伦布
红掌,花烛
科斯塔,迭戈·科斯塔
省级,省部级
线路板,电路板
韶关市,韶关
成田,成田市
fs,法师
mM,多发性骨髓瘤
吴江,吴江区
BBS,电子公告牌系统
CNN,美国有线电视新闻网
熟石灰,氢氧化钙
天选,命定女王
华科,华中科技大学
马赛克,锦砖
地丁,地丁草
安理会,联合国安全理事会
王小明,李小狼
哈维,哈维·埃尔南德兹·克雷乌斯
vc,维生素c
上海市浦东新区,浦东新区
蔑视,轻蔑
wE,WE电子竞技俱乐部
六盘水市,六盘水
梨花,古手梨花
滚石,滚石国际音乐有限公司
青山,青山区
望海,望海的女人
搅基,搞基
大元,元朝
王村,芙蓉镇
德马,托马
徐工,徐州工程机械集团有限公司
宁晋,宁晋县
玛莎,蔡升晏
iPhone6plus,iPhone 6 Plus
jiqing,激情
黄龙,黄龙风景名胜区
a3,Q235
邢台市,邢台
杲,杲姓
卡萨丁,虚空行者
iF,IF设计奖
从江,从江县
金像奖,奥斯卡金像奖
名山,名山区
MJ,迈克尔·杰克逊
酒泉市,酒泉
EB,不列颠百科全书
fang,培查雅·朝哇里
美凯龙,红星美凯龙家居集团股份有限公司
马航,马来西亚航空公司
老鼠会,金字塔销售计划
小嘎,则卷宝瓜
金信,金信网
屏保,屏幕保护
台湾地区,台湾
吊瓜,栝楼
黄线,中心黄色虚实线
fox,Mozilla Firefox
父山,父·山
ld,镭射影碟
腊八,腊八节
东门,东门姓
貂禅,貂蝉
高数,高等数学
Coco,李玟
慈济,慈济慈善事业基金会
笛,笛子
嘎啦,蛤蜊
香洲,香洲区
钱王,钱镠
F6,F-6战斗机
考驾照,驾驶证考试
新天地,上海新天地
影儿,刘影
宝坻,宝坻区
幼师,幼儿教师
etf,交易型开放式指数基金
高新区,高新技术产业开发区
海富通,海富通基金管理有限公司
罗林,刀郎
